Name,Salary,DOJ,Age,Gender,Dependents,HA,COLA,CPF,Gross Salary,Insurance,Marital Status,In Company Years,Year of Experience,Department,Position
ZuLzMAsP,88438.99,10/25/2019,36,Female,2,7142.100999999999,20872.46236009732,13117.37428321168,103336.17907688564,Medical,Married,4,15,Marketing,Regional Marketing Manager
xQYGOrHv,137819.29,11/8/2020,57,Female,4,4660.070999999998,32526.69374695863,20441.51804963504,154564.5366973236,Medical,Married,3,36,Marketing,National Marketing Manager
jehfxCGw,81316.12,1/20/2014,37,Male,3,5485.388,19191.395717761552,12060.901886131383,93932.00183163016,None,Divorced,10,16,Marketing,Senior Marketing Executive
yCezYiFJ,111420.62,2/13/2012,55,Female,1,7822.938,26296.350705596094,16526.03648467153,129013.87222092456,Life,Divorced,12,34,Sales,National Sales Manager
WDQboEZv,16185.35,5/4/2020,24,Other,2,8137.465,3819.900122,2400.630015,25742.08510705596,Medical,Married,4,3,Finance,Accounts Intern
lMuWiuUV,43619.96,8/24/2022,22,Male,0,8169.004,10294.735085158149,6469.763410218978,55613.93567493917,Both,Single,1,1,IT,Software Engineer I
NIQYRMyr,58861.85,11/18/2016,31,Other,3,4547.815,13891.96946472019,8730.458335766423,68571.17612895377,Medical,Divorced,7,10,Finance,Account Associate
UExTWkoi,131466.91,5/21/2008,55,Other,2,6923.308999999999,31027.470243308995,19499.32562919708,149918.3636141119,None,Divorced,16,34,Finance,National Account Head
QBqywSmi,136432.19,6/23/2006,50,Male,1,5819.780999999999,32199.32464720194,20235.78175766423,154215.51388953772,Medical,Widowed,18,29,Finance,National Account Head
qudAWoOL,90507.35,6/15/2014,34,Other,1,6041.264999999999,21360.61545012165,13424.155854014598,104485.07459610706,Both,Married,10,13,IT,QA Lead
NiMImRuV,134713.84,7/26/1995,52,Female,1,8789.616,31793.777323600963,19980.914078832117,155316.31924476885,Life,Married,28,31,Finance,Account Director
QNEjjMks,116025.73,6/23/1986,59,Male,2,13035.427,27383.201484184905,17209.07177810219,139235.2867060827,Medical,Widowed,38,38,Human Resources,HR Director
dqMhFYjl,122944.08,5/14/2020,52,Male,4,6196.591999999999,29015.999416058385,18235.209529927004,139921.46188613138,None,Married,4,31,Sales,Sales Director
EFNvnfQt,149602.08,10/5/2008,54,Male,3,3573.7920000000013,35307.54686131386,22189.155223357666,166294.26363795617,Both,Divorced,15,33,IT,Technical Lead
aPBJFMFV,143772.02,5/9/2003,57,Other,1,7163.798000000001,33931.59596107055,21324.433915328464,163542.98004574206,Life,Married,21,36,IT,Technical Lead
MeCxYezI,96685.93,5/28/2008,44,Other,4,6793.407000000001,22818.820462287094,14340.57005547445,111957.58740681264,None,Married,16,23,Human Resources,ERP Head
tGcdQVIB,94878.34,6/19/2021,32,Male,3,6855.165999999999,22392.21163017031,14072.466195620436,110053.25143454986,Life,Divorced,3,11,Marketing,Senior Marketing Executive
XXfNXMcK,135289.8,9/28/2010,55,Female,1,10644.02,31929.70948905108,20066.341138686126,157797.18835036492,Life,Divorced,13,34,Sales,Sales Director
jFRQwaNA,59713.22,3/18/2022,30,Male,1,5381.678,14092.901070559608,8856.734528467152,70331.06454209246,Medical,Married,2,9,Human Resources,HR Executive
zaluXHCI,22023.52,3/19/2024,24,Male,1,6610.647999999999,5197.765060827249,3266.554207,30565.37885352797,Life,Married,0,3,Marketing,Marketing Intern
oeRehWaJ,137224.4,12/6/2010,50,Other,3,5798.56,32386.29391727493,20353.28327007299,155055.97064720193,Both,Married,13,29,Finance,National Account Head
mFwWPhDI,107623.69,4/21/2014,41,Male,1,10266.631,25400.23827250608,15962.871392700728,127327.68787980534,Both,Married,10,20,Sales,Regional Sales Manager
nidBNEVX,109377.78,12/28/2012,36,Female,3,7167.222,25814.22058,16223.04007007299,126136.1825138686,None,Married,11,15,Marketing,Senior Marketing Executive
otwzqFJd,77424.92,8/5/2013,32,Male,3,7063.508,18273.03464720194,11483.754557664231,91277.70808953771,Both,Divorced,10,11,Human Resources,ERP Head
HJruGiHf,16058.89,6/27/2023,21,Male,0,5411.111,3790.054330900242,2381.8733197080287,22878.182011192213,Life,Single,1,0,Marketing,Marketing Development Representative
HZoyRNAW,55468.57,11/3/2016,31,Male,4,5467.143,13091.12236009732,8227.163083211679,65799.67227688564,Medical,Married,7,10,IT,Software Engineer II
WXNCExbJ,21456.56,4/2/2021,24,Female,1,7193.343999999999,5063.956982968369,3182.4620379562043,30531.398945012166,Medical,Married,3,3,Human Resources,HR Representative
wcYuMBbI,52611.42,4/9/2015,31,Male,3,5136.858,12416.807153284668,7803.387258394159,62361.69789489052,None,Married,9,10,Human Resources,HR Associate
jLtrKzOl,126954.88,4/25/2022,48,Female,2,10392.512,29962.587250608267,18830.09607007299,148479.88318053525,Both,Widowed,2,27,Human Resources,Recruitment Manager
JjvvRtIh,82137.24,1/2/2019,33,Female,2,7210.276,19385.18802919708,12182.691363503647,96550.01266569344,None,Married,5,12,IT,QA Lead
RqAHTRth,92870.97,8/14/2018,35,Other,1,5582.903,21918.452773722624,13774.730732846714,106597.59504087592,Life,Married,5,14,Sales,Senior Executive
LHvOhsLh,99196.92,7/11/2014,37,Male,3,7989.307999999999,23411.438540145977,14713.003024817515,115884.66351532846,Life,Divorced,10,16,Finance,Regional Account Head
juHmorzV,56504.12,8/4/2019,31,Female,2,5522.588,13335.52223844282,8380.757068613137,66981.47316982968,Life,Married,4,10,Marketing,Marketing Representative
gsxMdXZq,103786.64,2/12/2020,46,Other,2,8048.335999999999,24494.657128953764,15393.755655474451,120935.8774734793,None,Married,4,25,IT,Software Engineer III
oFaPyXLE,115695.12,6/3/2002,51,Other,1,13070.488,27305.174306569334,17160.03531678832,138910.747,None,Married,22,30,Finance,Account Director
lnatjeVo,132505.76,3/10/2013,58,Male,3,6745.423999999999,31272.648953771284,19653.409074452557,150870.42387931873,None,Married,11,37,Marketing,National Marketing Manager
xmYjSvjO,86984.8,7/23/2016,42,Male,1,8089.519999999999,20529.25936739659,12901.68712408759,102701.8922,Medical,Married,7,21,Human Resources,Senior HR
gQCWyBtk,140667.77,10/4/2017,49,Male,1,5430.223,33198.962749391714,20864.007929927004,158432.9478194647,Medical,Married,6,28,IT,Technical Lead
JCrJexpf,82910.16,4/23/2021,34,Male,1,5170.983999999999,19567.60467153284,12297.33176058394,95351.41691,None,Divorced,3,13,Finance,Regional Account Head
bXuBMteJ,79446.66,4/27/2022,32,Other,3,9178.334,18750.184963503645,11783.621395620436,95591.55756788322,Life,Married,2,11,Human Resources,ERP Head
mjntSQuw,129519.76,8/25/2012,55,Male,3,7431.023999999999,30567.92389294403,19210.52206715328,148308.18582579074,Medical,Divorced,11,34,Marketing,Marketing Director
DBVYWoqB,59119.54,3/19/2023,26,Male,0,4471.045999999999,13952.786812652064,8768.679217518249,68774.69359513382,Medical,Single,1,5,Marketing,Marketing Representative
MqGTTJls,118662.32,11/20/2011,60,Male,1,7158.767999999998,28005.462384428218,17600.133886131385,136226.41649829684,Both,Married,12,39,IT,IT Manager
bFRjygmR,101308.78,6/20/2014,34,Male,3,9545.122,23909.858053527973,15026.236566423357,119737.52348710464,Both,Married,10,13,Human Resources,ERP Head
iGoUnPam,84701.28,5/8/2016,32,Female,4,9043.872,19990.32642335766,12562.99277080292,101172.48565255477,None,Married,8,11,IT,QA Lead
LjVsISYe,129648.64,8/18/2016,51,Female,3,10948.136,30598.34083,19229.63769927007,151965.47912798054,None,Married,7,30,Marketing,National Marketing Manager
dreGhMaO,49647.94,11/14/2019,31,Female,1,6546.205999999999,11717.397031630167,7363.840443795621,60547.70258783455,Medical,Married,4,10,IT,QA Engineer II
rZTZxOTq,95842.48,8/20/2015,39,Other,1,3789.752,22619.75805352797,14215.468566423357,108036.5214871046,Medical,Married,8,18,Sales,Regional Sales Manager
TMAPkfjO,71397.04,8/18/2018,29,Male,0,6288.296,16850.396301703156,10589.69235620438,83946.03994549878,Medical,Single,5,8,Human Resources,HR Associate
COfgvAxm,130518.21,10/24/2022,56,Other,2,10102.178999999998,30803.56781021897,19358.61333722628,152065.3434729927,Both,Widowed,1,35,Finance,Account Director
PhDfxWWc,130364.02,10/17/2009,55,Female,1,4971.597999999998,30767.177469586368,19335.743696350364,146767.05177323602,None,Married,14,34,Finance,National Account Head
uIKvHEIC,74133.64,10/19/2014,30,Female,3,5796.636,17496.260535279802,10995.588064233576,86430.94847104623,Both,Married,9,9,Finance,Account Executive
ZfEvAMFz,43937.1,2/10/2023,22,Other,0,7469.29,10369.58321167883,6516.801985401459,55259.17122627737,Medical,Single,1,1,Human Resources,HR Representative
zXAzqKIx,100884.11,5/26/2023,34,Male,3,10388.589,23809.63180048661,14963.249016058391,120119.0817844282,Life,Married,1,13,Human Resources,ERP Head
eEpVepoS,127982.37,5/26/2001,56,Other,3,10815.763,30205.084890510934,18982.49458686131,150020.72330364963,None,Married,23,35,Finance,Account Director
NfxBxquJ,67146.45,6/10/2024,26,Male,0,6499.355,15847.215693430651,9959.239883211678,79533.78081021897,Medical,Single,0,5,IT,Software Engineer II
hfEaYABE,91307.62,3/23/2015,37,Female,1,5076.237999999999,21549.486958637463,13542.852835036494,104390.49212360095,None,Married,9,16,Human Resources,Senior HR
PqBkJAcJ,126452.81,2/6/2003,56,Other,4,9807.719,29844.09384428223,18755.628461313867,147348.99438296838,Medical,Married,21,35,Marketing,National Marketing Manager
dnUWjFOe,100114.4,8/28/2023,38,Male,2,11465.56,23627.97274939172,14849.084729927004,120358.8480194647,Life,Divorced,0,17,Finance,Senior Account Executive
LVXAbhID,84838.83,8/18/2021,37,Other,4,6628.117,20022.789562043792,12583.394347445255,98906.34221459854,Medical,Married,2,16,Marketing,Regional Marketing Manager
KDtKkIqf,75376.23,10/21/2019,41,Female,3,6709.377,17789.523868613134,11179.890464233576,88695.24040437955,Life,Divorced,4,20,Finance,Regional Account Head
QNOUNSCE,119778.32,7/13/1991,55,Male,3,9662.167999999998,28268.849245742087,17765.66030948905,139943.67693625303,Both,Married,33,34,Finance,National Account Head
xANRHhwH,114056.18,4/1/2001,53,Other,4,11401.382,26918.36851581508,16916.945821897807,135458.98469391727,Both,Married,23,32,IT,IT Manager
auxEWERR,97707.17,2/20/2022,33,Female,1,3327.2829999999994,23059.843041362525,14492.041564963502,109602.25447639902,Medical,Married,2,12,Human Resources,Senior HR
